day,equity,daily_return,exposure_ratio
20160311,67161.01,-0.010541,2.7733
20160314,68144.02,0.014637,4.0000
20160315,67555.74,-0.008633,4.0000
20160316,70126.42,0.038053,4.0000
20160317,69379.86,-0.010646,3.3513
20160318,68742.52,-0.009186,4.0000
20160321,68098.68,-0.009366,4.0000
20160322,69873.18,0.026058,4.0000
20160323,71114.73,0.017769,4.0000
20160324,71114.73,0.000000,0.0000
20160328,71442.38,0.004607,3.5673
20160329,71442.38,0.000000,0.0000
20160330,70966.97,-0.006655,4.0000
20160331,70443.23,-0.007380,4.0000
20160401,69919.11,-0.007440,4.0000
20160404,69406.22,-0.007336,4.0000
20160405,68994.23,-0.005936,4.0000
20160406,72538.68,0.051373,4.0000
20160407,71937.52,-0.008287,4.0000
20160408,71309.35,-0.008732,4.0000
20160411,70553.65,-0.010597,3.1151
20160412,69806.13,-0.010595,3.0911
20160413,69806.13,0.000000,0.0000
20160414,69728.67,-0.001110,1.0979
20160415,69244.82,-0.006939,4.0000
20160418,71170.86,0.027815,4.0000
20160419,72118.80,0.013319,2.9133
20160420,71381.47,-0.010224,4.0000
20160421,70937.37,-0.006221,4.0000
20160422,70196.51,-0.010444,2.3266
20160425,69495.35,-0.009988,4.0000
20160426,68801.88,-0.009979,4.0000
20160427,68079.13,-0.010505,2.6224
20160428,67594.18,-0.007123,4.0000
20160429,66876.11,-0.010623,3.2186
20160502,66171.15,-0.010541,2.7753
20160503,65469.97,-0.010596,4.0000
20160504,64795.98,-0.010295,4.0000
20160505,64229.61,-0.008741,4.0000
20160506,63538.75,-0.010756,3.8736
20160509,63550.23,0.000181,3.7225
20160510,63164.76,-0.006066,4.0000
20160511,63164.76,0.000000,0.0000
20160512,64561.40,0.022111,4.0000
20160513,63874.34,-0.010642,3.3096
20160516,66335.20,0.038527,4.0000
20160517,66335.20,0.000000,0.0000
20160518,65678.47,-0.009900,4.0000
20160519,64991.63,-0.010458,4.0000
20160520,66264.86,0.019591,4.0000
20160523,65556.70,-0.010687,3.5510
20160524,68759.72,0.048859,4.0000
20160525,69360.76,0.008741,4.0000
20160526,68671.97,-0.009931,4.0000
20160527,69517.88,0.012318,4.0000
20160531,69134.10,-0.005521,4.0000
20160601,68752.37,-0.005522,4.0000
20160602,68272.27,-0.006983,4.0000
20160603,68564.62,0.004282,4.0000
20160606,68161.06,-0.005886,4.0000
20160607,67810.19,-0.005148,4.0000
20160608,67510.05,-0.004426,4.0000
20160609,67062.67,-0.006627,4.0000
20160610,66591.92,-0.007020,4.0000
20160613,65925.36,-0.010010,4.0000
20160614,65235.04,-0.010471,2.4541
20160615,64700.16,-0.008199,4.0000
20160616,64261.76,-0.006776,4.0000
20160617,63589.55,-0.010461,2.3764
20160620,63067.35,-0.008212,4.0000
20160621,62494.68,-0.009080,4.0000
20160622,62118.97,-0.006012,4.0000
20160623,61493.34,-0.010071,4.0000
20160624,60861.19,-0.010280,1.4410
20160627,62372.26,0.024828,2.7876
20160628,64611.91,0.035908,4.0000
20160629,66374.37,0.027278,3.7878
20160630,65698.93,-0.010176,4.0000
20160701,66622.75,0.014061,4.0000
20160705,66693.43,0.001061,4.0000
20160706,65984.73,-0.010626,3.2279
20160707,65421.62,-0.008534,4.0000
20160708,64795.54,-0.009570,4.0000
20160711,64743.71,-0.000800,4.0000
20160712,64321.00,-0.006529,4.0000
20160713,63638.99,-0.010603,3.1739
20160714,63314.99,-0.005091,4.0000
20160715,63314.99,0.000000,0.0000
20160718,63314.99,0.000000,0.0000
20160719,62858.56,-0.007209,4.0000
20160720,62430.19,-0.006815,4.0000
20160721,62027.89,-0.006444,4.0000
20160722,61363.70,-0.010708,3.7510
20160725,61363.70,0.000000,0.0000
20160726,61056.08,-0.005013,4.0000
20160727,60666.25,-0.006385,4.0000
20160728,60126.97,-0.008889,4.0000
20160729,59641.29,-0.008078,4.0000
20160801,59324.42,-0.005313,4.0000
20160802,60118.42,0.013384,3.7041
20160803,60118.42,0.000000,0.0000
20160804,59736.43,-0.006354,4.0000
20160805,60509.81,0.012947,4.0000
20160808,60585.85,0.001257,4.0000
20160809,60599.58,0.000227,4.0000
20160810,61111.07,0.008440,4.0000
20160811,60561.80,-0.008988,4.0000
20160812,60860.03,0.004924,4.0000
20160815,61350.19,0.008054,4.0000
20160816,61865.93,0.008407,4.0000
20160817,61265.89,-0.009699,4.0000
20160818,60799.27,-0.007616,4.0000
20160819,60292.93,-0.008328,4.0000
20160822,59811.36,-0.007987,4.0000
20160823,60129.31,0.005316,4.0000
20160824,59753.95,-0.006242,4.0000
20160825,59295.35,-0.007675,4.0000
20160826,58740.70,-0.009354,4.0000
20160829,58633.45,-0.001826,4.0000
20160830,58007.62,-0.010674,3.6385
20160831,57522.16,-0.008369,4.0000
20160901,57022.76,-0.008682,4.0000
20160902,56665.82,-0.006260,4.0000
20160906,56214.03,-0.007973,4.0000
20160907,55920.96,-0.005213,4.0000
20160908,56104.99,0.003291,4.0000
20160909,55674.58,-0.007671,4.0000
20160912,57569.47,0.034035,1.8994
20160913,57042.77,-0.009149,4.0000
20160914,57115.50,0.001275,2.8478
20160915,59205.73,0.036597,3.0460
20160916,58576.01,-0.010636,3.4254
20160919,58170.99,-0.006914,4.0000
20160920,57707.89,-0.007961,4.0000
20160921,57287.98,-0.007277,4.0000
20160922,57608.29,0.005591,4.0000
20160923,58532.07,0.016036,4.0000
20160926,58016.73,-0.008804,4.0000
20160927,60203.94,0.037700,4.0000
20160928,59810.46,-0.006536,4.0000
20160929,59520.27,-0.004852,4.0000
20160930,59974.00,0.007623,3.9901
20161003,59974.00,0.000000,0.0000
20161004,59583.38,-0.006513,4.0000
20161005,59595.91,0.000210,4.0000
20161006,59145.99,-0.007550,4.0000
20161007,59425.50,0.004726,3.3722
20161010,59437.79,0.000207,4.0000
20161011,62229.98,0.046977,4.0000
20161012,61579.86,-0.010447,2.4068
20161013,61107.53,-0.007670,4.0000
20161014,60560.63,-0.008950,4.0000
20161017,60222.36,-0.005586,4.0000
20161018,59747.62,-0.007883,4.0000
20161019,59747.62,0.000000,0.0000
20161020,59393.36,-0.005929,4.0000
20161021,58757.90,-0.010699,3.7717
20161024,58432.57,-0.005537,4.0000
20161025,58053.19,-0.006493,4.0000
20161026,57751.65,-0.005194,4.0000
20161027,59591.19,0.031853,4.0000
20161028,59533.92,-0.000961,2.5912
20161031,60277.73,0.012494,4.0000
20161101,62124.99,0.030646,4.0000
20161102,61689.24,-0.007014,4.0000
20161103,61034.62,-0.010612,3.2811
